,1. open,2. high,3. low,4. close
2025-11-28,1.1595,1.1607,1.1553,1.1595
2025-11-27,1.1595,1.1613,1.1575,1.1595
2025-11-26,1.1569,1.16,1.1546,1.1594
2025-11-25,1.152,1.1585,1.151,1.1569
2025-11-24,1.1511,1.155,1.1501,1.152
2025-11-21,1.1527,1.1552,1.1488,1.1511
2025-11-20,1.1535,1.1549,1.1506,1.1527
2025-11-19,1.1579,1.1597,1.1517,1.1536
2025-11-18,1.1591,1.1607,1.157,1.1579
2025-11-17,1.162,1.1624,1.1581,1.159
2025-11-14,1.1638,1.1653,1.1604,1.162
2025-11-13,1.1592,1.1655,1.1578,1.1631
2025-11-12,1.158,1.1597,1.1562,1.1592
2025-11-11,1.1556,1.1605,1.1546,1.158
2025-11-10,1.1565,1.1583,1.1538,1.1556
2025-11-07,1.1546,1.1591,1.1528,1.1565
2025-11-06,1.1491,1.1552,1.1489,1.1547
2025-11-05,1.1483,1.1497,1.1468,1.1491
2025-11-04,1.1519,1.1533,1.1472,1.1482
2025-11-03,1.1534,1.1541,1.1504,1.1518
2025-10-31,1.1565,1.1577,1.152,1.1534
2025-10-30,1.16,1.1637,1.1546,1.1565
2025-10-29,1.165,1.1665,1.1577,1.1599
2025-10-28,1.1644,1.1668,1.1625,1.165
2025-10-27,1.1625,1.1651,1.1616,1.1643
2025-10-24,1.1618,1.1647,1.1599,1.1625
2025-10-23,1.1609,1.162,1.1584,1.1617
2025-10-22,1.1598,1.1622,1.1576,1.161
2025-10-21,1.1641,1.1655,1.1597,1.1598
2025-10-20,1.1657,1.1675,1.1637,1.164
2025-10-17,1.1686,1.1728,1.165,1.1651
2025-10-16,1.1647,1.1694,1.164,1.1687
2025-10-15,1.1605,1.1647,1.16,1.1646
2025-10-14,1.157,1.1615,1.154,1.1605
2025-10-13,1.1618,1.1629,1.1556,1.1568
2025-10-10,1.1563,1.163,1.1555,1.1618
2025-10-09,1.1623,1.1648,1.1541,1.1563
2025-10-08,1.1653,1.1661,1.1597,1.1626
2025-10-07,1.1712,1.1716,1.1647,1.1655
2025-10-06,1.1741,1.1741,1.1649,1.1709
2025-10-03,1.1714,1.1758,1.1712,1.1741
2025-10-02,1.1728,1.1758,1.1681,1.1714
2025-10-01,1.1733,1.1778,1.1712,1.1729
2025-09-30,1.1726,1.1761,1.1711,1.1733
2025-09-29,1.1697,1.1754,1.1697,1.1725
2025-09-26,1.1665,1.1707,1.1657,1.1701
2025-09-25,1.1738,1.1753,1.1645,1.1665
2025-09-24,1.1814,1.1819,1.1727,1.1737
2025-09-23,1.1802,1.1819,1.1778,1.1815
2025-09-22,1.1744,1.1803,1.1725,1.1802
2025-09-19,1.1786,1.1792,1.1728,1.1744
2025-09-18,1.1812,1.1848,1.175,1.1786
2025-09-17,1.1866,1.1918,1.1806,1.1812
2025-09-16,1.1762,1.1878,1.1756,1.1866
2025-09-15,1.1733,1.1774,1.1715,1.176
2025-09-12,1.1733,1.1747,1.17,1.1733
2025-09-11,1.1693,1.1745,1.1661,1.1733
2025-09-10,1.1707,1.173,1.1681,1.1693
2025-09-09,1.1762,1.1779,1.1702,1.1706
2025-09-08,1.1717,1.1765,1.17,1.1762
2025-09-05,1.1648,1.1759,1.1645,1.1717
2025-09-04,1.1659,1.1669,1.1628,1.1649
2025-09-03,1.1642,1.1682,1.1606,1.1661
2025-09-02,1.1709,1.1718,1.161,1.1638
2025-09-01,1.1684,1.1736,1.1683,1.1709
2025-08-29,1.1682,1.1708,1.1649,1.1684
2025-08-28,1.1637,1.1697,1.1627,1.1682
2025-08-27,1.1642,1.1647,1.1573,1.1637
2025-08-26,1.1618,1.1665,1.1599,1.1642
2025-08-25,1.1715,1.1727,1.1601,1.1618
2025-08-22,1.1605,1.1742,1.1581,1.1715
2025-08-21,1.1652,1.1662,1.1598,1.1605
2025-08-20,1.1649,1.1673,1.1621,1.1651
2025-08-19,1.1659,1.1692,1.1637,1.1646
2025-08-18,1.1691,1.1716,1.1655,1.166
2025-08-15,1.1647,1.1715,1.1644,1.1697
2025-08-14,1.1705,1.1715,1.163,1.1646
2025-08-13,1.1674,1.173,1.1667,1.1704
2025-08-12,1.1614,1.1697,1.1597,1.1673
2025-08-11,1.1637,1.1675,1.1589,1.1614
2025-08-08,1.1665,1.1679,1.1628,1.1639
2025-08-07,1.1659,1.1698,1.1609,1.1665
2025-08-06,1.1571,1.1668,1.1563,1.1659
2025-08-05,1.157,1.1587,1.1525,1.1574
2025-08-04,1.1577,1.1596,1.1547,1.157
2025-08-01,1.1414,1.1597,1.1389,1.1584
2025-07-31,1.1404,1.146,1.1402,1.1415
2025-07-30,1.1545,1.1572,1.1399,1.1404
2025-07-29,1.1588,1.1599,1.1515,1.1545
2025-07-28,1.1746,1.1772,1.1584,1.1588
2025-07-25,1.1747,1.1761,1.1702,1.174
2025-07-24,1.177,1.1788,1.1729,1.1754
2025-07-23,1.1752,1.1775,1.1709,1.177
2025-07-22,1.1695,1.176,1.1677,1.1753
2025-07-21,1.1618,1.1716,1.1614,1.1695
2025-07-18,1.1595,1.1671,1.1589,1.1625
2025-07-17,1.164,1.1642,1.1555,1.1595
2025-07-16,1.1599,1.1721,1.1561,1.1634
2025-07-15,1.1666,1.1692,1.159,1.1599
2025-07-14,1.1673,1.1697,1.1649,1.1663
