date,predicted_close
2025-12-01,1.1586266
2025-12-02,1.1577739
2025-12-03,1.1568552
2025-12-04,1.1559844
2025-12-05,1.1551167
2025-12-08,1.1542207
2025-12-09,1.1533383
2025-12-10,1.1524599
2025-12-11,1.1515707
2025-12-12,1.1506844
2025-12-15,1.1498005
2025-12-16,1.1489125
2025-12-17,1.1480249
2025-12-18,1.1471384
2025-12-19,1.1462504
2025-12-22,1.1453623
2025-12-23,1.1444749
2025-12-24,1.143587
2025-12-25,1.1426994
2025-12-26,1.1418121
2025-12-29,1.1409252
2025-12-30,1.1400385
2025-12-31,1.1391526
2026-01-01,1.1382673
2026-01-02,1.1373826
2026-01-05,1.1364988
2026-01-06,1.135616
2026-01-07,1.134734
2026-01-08,1.1338533
2026-01-09,1.1329737
